Re-ordered Oral & Short-form PSR assessment content v2.2 OASys OGRS & RSR only,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,,,,,,,,,
RSR match with existing ARN questions,,,,,,,,,,,,,,,,,,,,,,,,
New RSR questions,,,,,,,,,,,,,,,,,,,,,,,,
New ROSHA questions,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Question or information,Content ref.,Short-format PSR (Delius),Offender Group Reconviction Scale (OGRS),OASys Fast Delivery Report (FDR),Short-format PSR: printed template,Pre-sentence report (Template for reports delivered orally),"Risk of Serious Recidivism (RSR)
","Current question wording, inc. variations",Proposed question wording,Error summary,Error message,Reason for wording choice or change,Input type,"Business logic
(note that items marked out-of-line will show elsewhere on the page)",Notes,Spec ref.,OASys ref.,Value passed from OASys to RSR calculation,Mandatory for minimum OASys,Potentially exposed to changes to answer reference data?,Pre-populated?,Type (assumes new case),Taxonomy classification,Validated OASys Field
Offending Information (The individual),S1,,,,,,,,,,,,,,,,,,,,,,,
Family name,3.1,X,X,X,X,X,X,"Family name
Surname",Family name or names,N/A ,N/A,Covers cases where a person may have more than one family name (not aliases),Free text,None,,ID.1,oasys_set.family_name,,X,,Y,I,Name,x
Surname (aliases),5.1,,,,,,X,Surname (aliases),Family name (aliases),N/A ,N/A,Culturally neutral,Free text,None,,ID.3,offender_alias_in_set.alias_family_name,,,,Y,I,Name,x
First name,2.1,X,X,X,X,X,X,"Full name
Name
First name","First name or names
",N/A ,N/A,Covers cases where a person may have more than one first name (not aliases),Free text,None,,ID.2,oasys_set.forename_1,,X,,Y,I,Name,x
Forename (aliases),4.1,,,,,,X,Forename (aliases),First name (aliases),N/A ,N/A,Culturally neutral,Free text,None,,ID.4,offender_alias_in_set.alias_forename_1,,,,Y,I,Name,x
Date of birth,6.1,X,X,X,X,X,,"Date of birth
DOB",Date of birth,N/A ,N/A,Avoid initialisms and acronyms,Date ,None,,,,OASYS_SET.DATE_OF_BIRTH,,,Y,I,Biometric,Banner Data
Age,7.1,X,X,X,X,X,,Age,Age,N/A ,N/A,Consistency,Numeric,None,,,,,,,Y,I,Biometric,Banner Data
Gender,8.1,,X,,,,X,"Gender
",Gender,N/A ,N/A,Consistency,"Text, drop-down
TBC",None,,ID.7,oasys_set.gender_elm,OASYS_SET.GENDER converted from code to text description (upper case),X,,Y,I,Biometric,x
PNC,11.1,X,X,X,X,X,X,"PNC ID
PNC",PNC,N/A ,N/A,Simplicity,Alphanumeric,None,,ID.9,oasys_set.pnc,,X,,Y,I,Identifiers,x
Criminal Records Office (CRO) Number,12.1,,,,,,X,Criminal Records Office (CRO) Number,Criminal Records Office (CRO) Number,N/A ,N/A,Consistency,Alphanumeric?,None,,ID.10,oasys_set.cro_number,,,,Y,I,Identifiers,x
Probation Case Reference Number/CRN,13.1,,,,,,X,Probation Case Reference Number,Probation Case Reference Number,N/A ,N/A,Consistency,Alphanumeric?,None,,ID.11,oasys_set.cms_prob_number,,X,,Y,I,Identifiers,x
Nomis ID,,,,,,,,,,N/A ,N/A,,,,Only populated when offender has come from Prison,,,,,,,,,x
CRN,10.1,X,X,X,X,X,,"Delius CRN
CRN",CRN,N/A ,N/A,Simplicity,Alphanumeric,None,,,,,,,Y,I,Identifiers,Banner Data
Address,14.1,X,X,X,X,X,X,"Address
Address + postcode",Address,N/A if pre-populated,N/A if pre-populated,Consistency,Alphanumeric,None,6 lines inc. postcode,ID.15,"oasys_set.current_addess_line1 - line6, current_post_code",,,,Y,I,Address,x
Assessment Details (PSR metadata),S3,,,,,,,,,,,,,,,,,,,,,,,
