"REF_SECTION_CODE","REF_QUESTION_CODE","DISPLAY_SORT","MANDATORY_IND","REF_SECTION_QUESTION","ANSWERS","INPUT_TYPE","MAXLENGTH","LOGICALPAGE","ALLOWNULL","REF_ASS_VERSION_CODE","VERSION_NUMBER"
"1","1.24","120","N","Number of previous formal cautions, reprimands and final warnings",,"NUMBER","3",,,"LAYER1","2"
"1","1.26","130","N","How many of the sum [1.5, 1.6 and 1.24] previous convictions, conditional or absolute discharges, cautions, reprimands or final warnings included any violent offences?",,"NUMBER","2",,,"LAYER1","2"
"1","1.29","151","N","Date of current conviction",,"DATE",,,,"LAYER1","2"
"1","1.30","152","N","Have they ever committed a sexual or sexually motivated offence?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"1","1.31","153","N","Have any of these involved actual/attempted contact against a victim who was a stranger?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"1","1.33","155","N","Date of most recent sanction involving a sexual/sexually motivated offence",,"DATE",,,,"LAYER1","2"
"1","1.34","156","N","Number of previous/current sanctions involving contact adult sexual/sexually motivated offences",,"NUMBER","2",,,"LAYER1","2"
"1","1.35","157","N","Number of previous/current sanctions involving contact child sexual/sexually motivated offences",,"NUMBER","2",,,"LAYER1","2"
"1","1.36","158","N","Number of previous/current sanctions involving indecent child image sexual/sexually motivated offences",,"NUMBER","2",,,"LAYER1","2"
"1","1.37","159","N","Number of previous/current sanctions involving other non-contact sexual/sexually motivated offences",,"NUMBER","2",,,"LAYER1","2"
"1","1.38","160","N","Date of commencement of community sentence or earliest possible release from custody",,"DATE",,,,"LAYER1","2"
"1","1.38.t","161","N","Date in Community Audit text",,,,,,"LAYER1","2"
"1","1.5","25","N","Number of court appearances at which convicted, or received a conditional or absolute discharge aged under 18 years",,"NUMBER","2",,,"LAYER1","2"
"1","1.5.1","10","N","Score","0/0|1/1|2/2","SELECT",,,,"LAYER1","2"
"1","1.6","30","N","Number of court appearances at which convicted, or received a conditional or absolute discharge aged 18 years and over. Do not include current appearances.",,"NUMBER","3",,,"LAYER1","2"
"1","1.6.1","30","N","Score","0/0|1/1|2/2","SELECT",,,,"LAYER1","2"
"1","1.7","35","N","Age at first conviction, conditional or absolute discharge (record in years)",,"NUMBER","2",,,"LAYER1","2"
"1","1.7.1","10","N","Score","0/0|1/1|2/2","SELECT",,,,"LAYER1","2"
"1","1.7.2","5","N","Date of first sanction",,"DATE",,,,"LAYER1","2"
"1","1.8","40","N","Age first in contact with police: first recorded caution, reprimand or final warning (record in years)",,"NUMBER","2",,,"LAYER1","2"
"1","1.8.1","10","N","Score","0/0|1/1|2/2","SELECT",,,,"LAYER1","2"
"1","D1","500","N","OSP - Indecent Sexual Reoffending Risk",,"TEXTAREA",,,,"LAYER1","2"
"1","D2","501","N","OSP - Contact Sexual Reoffending Risk",,"TEXTAREA",,,,"LAYER1","2"
"1","D3","502","N","Likelihood of serious reoffending over the next two years",,"TEXTAREA",,,,"LAYER1","2"
"1","D4","503","N","&nbsp;",,"TEXTAREA",,,,"LAYER1","2"
"1","S1.45","450","N","OGRS 3",,"NONE",,,,"LAYER1","2"
"11","11.2","590","N","Is impulsivity a problem for the offender?","0-No problems/0|1-Some problems/1|2-Significant problems/2","SELECT",,,,"LAYER1","2"
"11","11.4","600","N","Is temper control a problem for the offender?","0-No problems/0|1-Some problems/1|2-Significant problems/2","SELECT",,,,"LAYER1","2"
"12","12.1","645","N","Does the offender have pro-criminal attitudes?","0-No problems/0|1-Some problems/1|2-Significant problems/2","SELECT",,,,"LAYER1","2"
"2","2.1","10","N","Brief offence(s) details (indicate what exactly happened, when, where and how)",,"TEXTAREA",,,,"LAYER1","2"
"2","2.2","20","N","Did the offence involve any of the following","Carrying or using a weapon/WEAPON|Any violence or threat of violence / coercion/ANYVIOL|Excessive use of violence / sadistic violence/EXCESSIVE|Arson/ARSON|Physical damage to property/PHYSICALDAM|Sexual element/SEXUAL","CHECKBOX",,,,"LAYER1","2"
"2","2.2.t","20","N","Specify which weapon",,"TEXT","96",,,"LAYER1","2"
"2","2.3","30","N","Did any of the following occur?","Were there any direct victim(s) eg contact targeting/DIRECTCONT|Were any of the victim(s) targeted because of racial motivation or hatred of other identifiable group/HATE|Response to a specific victim (eg revenge, settling grudges)/RESPTOVICTIM|Physical violence towards partner/PHYSICALVIOL|Repeat victimisation of the same person/REPEATVICT|Were the victim(s) stranger(s) to the offender/STRANGERS","CHECKBOX",,,,"LAYER1","2"
"2","2.4","40","N","Details of victim(s)",,"LINK",,,,"LAYER1","2"
"2","2.4.1","10","N","Any other information of specific note, consider vulnerability",,"TEXTAREA",,,,"LAYER1","2"
"2","2.4.2","5","N","Victim - perpetrator relationship",,"TEXTAREA",,,,"LAYER1","2"
"2","2.5","50","N","Impact on the victim (Note any particular consequences)",,"TEXTAREA",,,,"LAYER1","2"
"2","2.6","60","N","Does the offender recognise the impact and consequences of offending on victim, community / wider society?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"3","3.4","230","N","Is the offender living in suitable accommodation?","0-No problems/0|1-Some problems/1|2-Significant problems/2|Missing/M","SELECT",,,,"LAYER1","2"
"4","4.2","15","N","Is the person unemployed, or will be unemployed on release?","0 - No/NO|0 - Not Available for work/NA|2 - Yes/YES|Missing/M","SELECT",,,,"LAYER1","2"
"6","6.4","50","N","What is the person¿¿¿s current relationship with partner?","0-No problems/0|1-Some problems/1|2-Significant problems/2|Missing/M","SELECT",,,,"LAYER1","2"
"6","6.7","70","N","Is there evidence that the offender is a perpetrator of
domestic violence/partner abuse?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"6","6.7.1","10","N"," ","Victim/VICTIM|Perpetrator/PERPETRATOR","CHECKBOX",,,,"LAYER1","2"
"9","9.1","505","N","Is the person¿¿¿s current use of alcohol a problem","0-No problems/0|1-Some problems/1|2-Significant problems/2|Missing/M","SELECT",,,,"LAYER1","2"
"9","9.2","510","N","Is there evidence of binge drinking or excessive use of alcohol
 in last 6 months?","0-No problems/0|1-Some problems/1|2-Significant problems/2|Missing/M","SELECT",,,,"LAYER1","2"
"BSP","BSP.1","10","N","Type of Assessment","Pre-sentence/PRE|Start/START|Review/REVIEW|Transfer/TRANSFER|Termination/TERMINATION|Other/OTHER","SELECT",,,,"LAYER1","2"
"BSP","BSP.2","20","N","Transfer Date",,"DATE",,,,"LAYER1","2"
"BSP","BSP.3","30","N","Termination Date",,"DATE",,,,"LAYER1","2"
"BSP","BSP.4","40","N","Comments",,"TEXTAREA",,"2",,"LAYER1","2"
"CASEID_MIG","MIG.10","15","N","OrigAssSign - Original Signatory of the OASys 1-13",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.20","10","N","Persistent Offender","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"CASEID_MIG","MIG.21","20","N","Assessment Status - Review, Update or New",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.22","30","N","Current Establishment - The establishment at time of Migration",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.23","35","N","TemporaryControl - Under TC at time of migration",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.24","40","N","PreferredCSSSP - Preferred Countersigner for SSSP",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.25","50","N","OASYSNO",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.27","60","N","OGRS Scoring Algorithm",,,,,,"LAYER1","2"
"CASEID_MIG","MIG.6","5","N","PSRPPAuthor - PSR PP Author",,"TEXT",,,,"LAYER1","2"
"CASEID_MIG","MIG.7","10","N","PSRAb - PSR Abandoned Text",,"TEXTAREA",,,,"LAYER1","2"
"FASTR_MIG","MIG.12","10","N","RSSP6A - Harm - Any changes?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"FASTR_MIG","MIG.13","20","N","RSSP6Atxt - Harm - Comments",,"TEXTAREA",,,,"LAYER1","2"
"FASTR_MIG","MIG.14","30","N","RSSP6B - Offending Information - Any changes?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"FASTR_MIG","MIG.15","40","N","RSSP6Btxt - Offending Information - Comments",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM1","10","N","Level 2 - Local multi agency risk management
","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM10","100","N","Is the offender disqualified from working with children as set out in Section 35 (4) of the Criminal Justice & Court Services Act 2000","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM11","110","N","Has the offender been identified as having a present or previous conviction against a child?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM12","120","N","Has the offender been identified as presenting an ongoing risk to children?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM13","130","N","Is there a requirement for the Police, Local Authority and the Offender Manager to be notified prior to the release of the offender from custody?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
